subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-11 09:19:00'
subject='timediff', 	 description='3.20043492s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-11 09:19:00'
subject='ups-validation-loopruntime', 	 description='210.29164219', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-11 09:22:31'
subject='ups-sqlwriteback-loopruntime', 	 description='0.84337091', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-11 09:22:31'
subject='address_validated', 	 description='addresses validated', 	 batch_id='790', 	 user_id='790', 	 timestamp='2014-09-11 09:22:31'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 09:26:06'
subject='timediff', 	 description='2.7919488s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 09:26:06'
subject='ups-validation-loopruntime', 	 description='200.75662804', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 09:29:27'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:31:31'
subject='timediff', 	 description='3.071208s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:31:31'
subject='ups-validation-loopruntime', 	 description='201.11982203', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:34:52'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:36:43'
subject='timediff', 	 description='2.467695s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:36:43'
subject='ups-validation-loopruntime', 	 description='202.72068095', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:40:06'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:51:04'
subject='timediff', 	 description='2.62395501s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:51:04'
subject='ups-validation-loopruntime', 	 description='174.48675585', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:53:59'
subject='ups-sqlwriteback-loopruntime', 	 description='0.97024584', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 10:54:00'
subject='address_validated', 	 description='addresses validated', 	 batch_id='794', 	 user_id='794', 	 timestamp='2014-09-12 10:54:00'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 11:08:50'
subject='timediff', 	 description='2.54992104s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 11:08:50'
subject='ups-validation-loopruntime', 	 description='202.52565813', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 11:12:13'
subject='ups-sqlwriteback-loopruntime', 	 description='0.67805696', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 11:12:14'
subject='address_validated', 	 description='addresses validated', 	 batch_id='795', 	 user_id='795', 	 timestamp='2014-09-12 11:12:14'
subject='ups-validation-loopruntime', 	 description='1.42050505', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 12:18:30'
subject='ups-sqlwriteback-loopruntime', 	 description='0.01396203', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 12:18:30'
subject='ups-validation-loopruntime', 	 description='2.59397388', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 13:09:13'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00242209', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-12 13:09:13'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-15 17:00:40'
subject='timediff', 	 description='5.28405499s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-15 17:00:40'
subject='ups-validation-loopruntime', 	 description='184.90490794', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-15 17:03:45'
subject='ups-sqlwriteback-loopruntime', 	 description='1.01346612', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-15 17:03:46'
subject='address_validated', 	 description='addresses validated', 	 batch_id='802', 	 user_id='802', 	 timestamp='2014-09-15 17:03:46'
subject='ups-validation-loopruntime', 	 description='1.34345388', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-15 20:30:49'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00308704', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-15 20:30:49'
subject='ups-validation-loopruntime', 	 description='1.93583798', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:12:35'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00422311', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:12:35'
