SeqNumber|JobNumber|Kit|PONumber|CompanyName|AttentionTo|Add1|Add2|Add3|City|StateProv|Country|Zip|PhoneNum|Service|BillTo|Package|Weight|SatDelivery|ResDelivery|GeneralDescription|InvReasonForExport|ImporterSameAsShipTo|GoodsDescriptionOfGoods|GoodsInvNAFTACOCountryOfOrigin|GoodsInvoiceUnits|GoodsInvoiceUnitsOfMeasure|GoodsInvoiceSEDUnitPrice|GoodsSEDCOGrossWeight|ThirdPartyCompanyName|ThirdPartyStreet|ThirdPartyCountry|ThirdPartyZip|ThirdPartyCity|ThirdPartyState|ThirdPartyAccount|ShipDate|DeliverBy|Blind Company|Dimension|PackID|Misc Reference 1|Misc Reference 2|Misc Reference 3|Misc Reference 4|Misc Reference 5|Insurance|Shipment_Type|Shipment_Type_Value
541703d683252|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #5617|Store Manager||2230 OTAY LAKES RD||CHULA VISTA|CA|US|91915-1000|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d68329a|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #5747|Store Manager||1016 BAYSIDE DR||NEWPORT BEACH|CA|US|92660-7462|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d6832cc|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #11190|Store Manager||2 S DUPONT HWY||CAMDEN|DE|US|19934-1309|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d6832fe|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #11202|Store Manager||19927 CENTURY BLVD||GERMANTOWN|MD|US|20874-7120|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d68332e|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #11387|Store Manager||2850 CAPITAL BLVD||RALEIGH|NC|US|27604-2414|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d68335f|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #10329|Store Manager||335 N MAIN ST||BARRE|VT|US|05641-4106|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d683390|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #11458|Store Manager||614 BRAWLEY SCHOOL RD||MOORESVILLE|NC|US|28117-9121|5856639000|UPS3DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d6833c1|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #6383|Store Manager||600 W 7TH ST||LOS ANGELES|CA|US|90017-3842|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d6833f1|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #6371|Store Manager||300 E WILLOW ST||LONG BEACH|CA|US|90806-3113|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d683421|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #5777|Store Manager||600 W VENTURA ST||FILLMORE|CA|US|93015-1925|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d683452|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #6356|Store Manager||4100 LONE TREE WAY||ANTIOCH|CA|US|94531-6201|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
541703d683481|8413a|1|131 - AG RPG Summer Caption Strips|RITE AID #6158|Store Manager||100 E MINERAL AVE||LITTLETON|CO|US|80122-2610|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/15/2014|||7x5x5||AG RPG Summer Caption Strips|131|1|||0|Batch Ship|batch_540f0dc20b31d
